link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
https://twitter.com/le_chat_riot/status/1778915340933578844#m,L'âne toto binaire,"{'name': ""l'âne tototrotrotteur"", 'username': '@le_chat_riot', 'profile_id': '1712223766770520064', 'avatar': 'https://pbs.twimg.com/profile_images/1712223766770520064/gxfGWP2V_bigger.jpg'}","Apr 12, 2024 · 10:37 PM UTC",False,False,,[],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
https://twitter.com/njpwglobal/status/1778911024281722981#m,.@emilymaeheller catches @zacksabrejr before his NJPW TV Championship match at Windy City Riot tonight on @njpwworld and his last words for Matt Riddle @SuperKingofBros! 👀   Tune into the PPV ➡️:  https://watch.njpwworld.com/live-event/41363/details #NJRiot #NJPW,"{'name': 'NJPW Global', 'username': '@njpwglobal', 'profile_id': '757745209983639552', 'avatar': 'https://pbs.twimg.com/profile_images/757745209983639552/nop-oSd6_bigger.jpg'}","Apr 12, 2024 · 10:20 PM UTC",True,False,,[],{},"{'comments': 3, 'retweets': 5, 'quotes': 1, 'likes': 37}",[],['https://video.twimg.com/amplify_video/1778910856106946560/pl/UfMgL5XPXpXSguPi.m3u8?tag=19&container=cmaf'],[]
https://twitter.com/zjlaing/status/1778644746778640722#m,"just because i was curious, here are the 53 different goal scorers connor mcdavid has assisted on.","{'name': 'zach', 'username': '@zjlaing', 'profile_id': '1681005757201010690', 'avatar': 'https://pbs.twimg.com/profile_images/1681005757201010690/FejVJ-rD_bigger.jpg'}","Apr 12, 2024 · 4:42 AM UTC",True,False,,[],"{'link': 'https://twitter.com/PenguinsPR/status/1778608024568926388#m', 'text': '108 different players have scored a goal assisted by Sidney Crosby 🤩', 'user': {'name': 'Penguins PR', 'username': '@PenguinsPR', 'profile_id': '1200989159630016512', 'avatar': 'https://pbs.twimg.com/profile_images/1200989159630016512/DYd_SBS7_mini.jpg'}, 'date': 'Apr 12, 2024 · 2:16 AM UTC', 'pictures': ['https://pbs.twimg.com/media/GK7ikcsWYAAv26G.jpg'], 'videos': [], 'gifs': []}","{'comments': 26, 'retweets': 13, 'quotes': 11, 'likes': 172}",['https://pbs.twimg.com/media/GK8D25yaMAAohyZ.png'],[],[]
https://twitter.com/plfracassi_/status/1778846839250305117#m,"🚨SAIIIIIIUUUUUUUUUU!!! Prazer, time de desenvolvedores da Gestão Takas 2024! 🙋  Vocês não sabem como eu tava ansioso pra poder mostrar isso aqui pra vocês! Fui eu quem desenvolvi, em parceria com a Riot, o novo overlay interativo do CBLOL na Twitch!","{'name': 'Pedro Fracassi', 'username': '@plfracassi_', 'profile_id': '1741557228706975744', 'avatar': 'https://pbs.twimg.com/profile_images/1741557228706975744/jZPJcyc6_bigger.jpg'}","Apr 12, 2024 · 6:05 PM UTC",True,False,,[],"{'link': 'https://twitter.com/CBLOL/status/1778845538118484235#m', 'text': 'E não é que o @takeshilol1 fez a boa para o #CBLOL mais uma vez em 2024?  Nosso canal na @TwitchBR agora traz uma ferramenta pra você ficar por dentro de tudo em tempo real  🔆 Runas ⚔️ Builds 💻 Ordem das habilidades 📊 Gráfico de ouro  Assista e saiba como funciona!', 'user': {'name': 'CBLOL', 'username': '@CBLOL', 'profile_id': '1727734128236240896', 'avatar': 'https://pbs.twimg.com/profile_images/1727734128236240896/hT7gRfXV_mini.jpg'}, 'date': 'Apr 12, 2024 · 6:00 PM UTC', 'pictures': [], 'videos': ['https://video.twimg.com/amplify_video/1778836943565914112/pl/cw9OWmSkL1olpg4y.m3u8?tag=19&container=cmaf'], 'gifs': []}","{'comments': 155, 'retweets': 44, 'quotes': 23, 'likes': 1792}",[],[],[]
https://twitter.com/x_Atara_303/status/1778811031495770223#m,ドイツの歴史において今日は非常に重要な日です。民主主義が失われているのを目撃しています  パレスチナで起きている惨劇について、議論し、考える場がドイツ政府によって暴力的に破壊されたのです。 この平和的な集会の弾圧を大手メディアは🇩🇪政府の功績として報じる模様です。@GermanyinJapan,"{'name': 'Aka', 'username': '@x_Atara_303', 'profile_id': '1778803220770668544', 'avatar': 'https://pbs.twimg.com/profile_images/1778803220770668544/rSRUfrIT_bigger.jpg'}","Apr 12, 2024 · 3:42 PM UTC",True,False,,[],"{'link': 'https://twitter.com/redstreamnet/status/1778805562534146319#m', 'text': '""Now it\'s actually getting dangerous."" Watch activist Salah Said report from the Palestine Congress where police have stormed the speakers\' stage and shut off the electricity.  Police descended on the congress stage as a pre-recorded speech by founder of the Palestine Land Society,  Dr. Salman Abu Sitta, was playing. They demanded organizers stop filming and live streaming and plunged the room into darkness by switching off the lights and power. red. media\'s team at the scene reports that the electricity has now been turned back on.  The congress and its organizers have been subjected to unprecedented levels of repression for their efforts to raise public awareness about Germany\'s complicity in Israel\'s genocide in Gaza.  Rector of Glasgow University, Ghassan Abu-Sittah, who was due to speak has been denied entry to Germany. Other speakers due to address the congress include Greek politician @yanisvaroufakis and Irish MP @RBoydBarrett.  🟡 Stay tuned @redstreamnet #PalaestinaKongress', 'user': {'name': 'red.', 'username': '@redstreamnet', 'profile_id': '1620380748799778817', 'avatar': 'https://pbs.twimg.com/profile_images/1620380748799778817/3OGbkgMA_mini.jpg'}, 'date': 'Apr 12, 2024 · 3:21 PM UTC', 'pictures': [], 'videos': ['https://video.twimg.com/ext_tw_video/1778804824802242560/pu/pl/tfNmrR3R3OxuB6eA.m3u8?tag=17&container=cmaf'], 'gifs': []}","{'comments': 1, 'retweets': 40, 'quotes': 0, 'likes': 31}",[],[],[]
https://twitter.com/girliesforblood/status/1778915304329957768#m,Is windy city riot only on new japan world?,"{'name': 'Rachael ✡︎ 🪬', 'username': '@girliesforblood', 'profile_id': '1742695769205800960', 'avatar': 'https://pbs.twimg.com/profile_images/1742695769205800960/CX5vv7R1_bigger.jpg'}","Apr 12, 2024 · 10:37 PM UTC",False,False,,[],{},"{'comments': 1, 'retweets': 0, 'quotes': 0, 'likes': 1}",[],[],[]
https://twitter.com/WrestleTix/status/1778913771815129510#m,"NJPW Windy City Riot Fri • Apr 12 • 7:00 PM Wintrust Arena, Chicago, IL  Available Tickets: 192 Tickets Distributed: 6,200+  ⏮ | Last visit in area: Windy City Riot @ Odeum Expo Center (4/16/2022): 2,198 📢 | Tetsuya Naito vs Jon Moxley, Hiromu Takahashi vs Mustafa Ali, Nic Nemeth, Minoru Suzuki 📝 | The upper deck seats that were available all just dropped off at once. It's not clear if those were distributed or just removed, so for now, we are going with 6,200 as the distributed number. Pictures should help answer some questions. Some floor seats have been added (and some random lower bowl rows) as highlighted below. A lot of those lower bowl resales aren't moving, which is surprising because some of them are back down to $19, the same price as the upper decks! I wouldn't be surprised if those particular sections in the lower bowl with the most pink dots aren't completely full tonight (in other words, resellers having to eat the cost of them).","{'name': 'WrestleTix', 'username': '@WrestleTix', 'profile_id': '1416016810068090887', 'avatar': 'https://pbs.twimg.com/profile_images/1416016810068090887/MeY7aroK_bigger.jpg'}","Apr 12, 2024 · 10:31 PM UTC",True,False,,[],{},"{'comments': 7, 'retweets': 6, 'quotes': 11, 'likes': 69}",['https://pbs.twimg.com/media/GK_4gxYWEAAb0n0.png'],[],[]
https://twitter.com/rsdecarr1/status/1778915297681891816#m,The liberals are about to unleash riots and Soros's Antifa for the election.,"{'name': 'rsdecarr', 'username': '@rsdecarr1', 'profile_id': '1766214220704575488', 'avatar': 'https://pbs.twimg.com/profile_images/1766214220704575488/ecZPs1Zy_bigger.jpg'}","Apr 12, 2024 · 10:37 PM UTC",False,False,,['@MyLordBebo'],{},"{'comments': 0, 'retweets': 0, 'quotes': 0, 'likes': 0}",[],[],[]
https://twitter.com/jadedwind/status/1778913857974468614#m,toto binaire sa presentation de gender c 1 cagoule ses pronoms sont stocker dans le cachecou,"{'name': 'Chadedwind', 'username': '@jadedwind', 'profile_id': '1772395999819931648', 'avatar': 'https://pbs.twimg.com/profile_images/1772395999819931648/tICoj5ia_bigger.jpg'}","Apr 12, 2024 · 10:31 PM UTC",True,False,,[],{},"{'comments': 0, 'retweets': 1, 'quotes': 0, 'likes': 1}",[],[],[]
https://twitter.com/MeghUpdates/status/1778830757085294667#m,"CM Yogi Adityanath:  Earlier the mafia were bosses of UP, they used to do whatever they wanted, there used to be Fatwas, riots on small matters but then we started giving treatment and riots ended....The rioters are hanged upside down and treated with 🌶 in their backside🔥","{'name': 'Megh Updates 🚨™', 'username': '@MeghUpdates', 'profile_id': '1285795195884199936', 'avatar': 'https://pbs.twimg.com/profile_images/1285795195884199936/ZCCtzvKj_bigger.jpg'}","Apr 12, 2024 · 5:01 PM UTC",True,False,,[],{},"{'comments': 38, 'retweets': 945, 'quotes': 17, 'likes': 4440}",[],['https://video.twimg.com/ext_tw_video/1778830668144807937/pu/pl/lLRIndUlba1ZCag0.m3u8?tag=17&container=cmaf'],[]
